MPRN,Meter Serial Number,Read Value,Read Type,Read Date and End Time
10003448599,000000000023738688,0.200,Active Import Interval (kW),01-10-2024 11:30
10003448599,000000000023738688,0.260,Active Import Interval (kW),01-10-2024 11:00
10003448599,000000000023738688,0.228,Active Import Interval (kW),01-10-2024 10:30
10003448599,000000000023738688,0.210,Active Import Interval (kW),01-10-2024 10:00
10003448599,000000000023738688,0.214,Active Import Interval (kW),01-10-2024 09:30
10003448599,000000000023738688,0.192,Active Import Interval (kW),01-10-2024 09:00
10003448599,000000000023738688,0.160,Active Import Interval (kW),01-10-2024 08:30
10003448599,000000000023738688,1.626,Active Import Interval (kW),01-10-2024 08:00
10003448599,000000000023738688,2.798,Active Import Interval (kW),01-10-2024 07:30
10003448599,000000000023738688,0.100,Active Import Interval (kW),01-10-2024 07:00
10003448599,000000000023738688,0.102,Active Import Interval (kW),01-10-2024 06:30
10003448599,000000000023738688,0.170,Active Import Interval (kW),01-10-2024 06:00
10003448599,000000000023738688,0.160,Active Import Interval (kW),01-10-2024 05:30
10003448599,000000000023738688,0.164,Active Import Interval (kW),01-10-2024 05:00
10003448599,000000000023738688,0.164,Active Import Interval (kW),01-10-2024 04:30
10003448599,000000000023738688,0.110,Active Import Interval (kW),01-10-2024 04:00
10003448599,000000000023738688,0.100,Active Import Interval (kW),01-10-2024 03:30
10003448599,000000000023738688,0.140,Active Import Interval (kW),01-10-2024 03:00
10003448599,000000000023738688,0.160,Active Import Interval (kW),01-10-2024 02:30
10003448599,000000000023738688,0.178,Active Import Interval (kW),01-10-2024 02:00
10003448599,000000000023738688,0.268,Active Import Interval (kW),01-10-2024 01:30
10003448599,000000000023738688,0.162,Active Import Interval (kW),01-10-2024 01:00
10003448599,000000000023738688,0.242,Active Import Interval (kW),01-10-2024 00:30
10003448599,000000000023738688,0.712,Active Import Interval (kW),01-10-2024 00:00
10003448599,000000000023738688,1.042,Active Import Interval (kW),30-09-2024 23:30
10003448599,000000000023738688,1.728,Active Import Interval (kW),30-09-2024 23:00
10003448599,000000000023738688,0.864,Active Import Interval (kW),30-09-2024 22:30
10003448599,000000000023738688,0.226,Active Import Interval (kW),30-09-2024 22:00
10003448599,000000000023738688,0.264,Active Import Interval (kW),30-09-2024 21:30
10003448599,000000000023738688,0.384,Active Import Interval (kW),30-09-2024 21:00
10003448599,000000000023738688,0.278,Active Import Interval (kW),30-09-2024 20:30
10003448599,000000000023738688,1.236,Active Import Interval (kW),30-09-2024 20:00
10003448599,000000000023738688,1.398,Active Import Interval (kW),30-09-2024 19:30
10003448599,000000000023738688,0.248,Active Import Interval (kW),30-09-2024 19:00
10003448599,000000000023738688,0.476,Active Import Interval (kW),30-09-2024 18:30
10003448599,000000000023738688,0.414,Active Import Interval (kW),30-09-2024 18:00
10003448599,000000000023738688,0.176,Active Import Interval (kW),30-09-2024 17:30
10003448599,000000000023738688,0.172,Active Import Interval (kW),30-09-2024 17:00
10003448599,000000000023738688,0.214,Active Import Interval (kW),30-09-2024 16:30
10003448599,000000000023738688,0.254,Active Import Interval (kW),30-09-2024 16:00
10003448599,000000000023738688,0.278,Active Import Interval (kW),30-09-2024 15:30
10003448599,000000000023738688,0.296,Active Import Interval (kW),30-09-2024 15:00
10003448599,000000000023738688,0.322,Active Import Interval (kW),30-09-2024 14:30
10003448599,000000000023738688,0.198,Active Import Interval (kW),30-09-2024 14:00
10003448599,000000000023738688,0.474,Active Import Interval (kW),30-09-2024 13:30
10003448599,000000000023738688,0.364,Active Import Interval (kW),30-09-2024 13:00
10003448599,000000000023738688,1.616,Active Import Interval (kW),30-09-2024 12:30
10003448599,000000000023738688,0.430,Active Import Interval (kW),30-09-2024 12:00
10003448599,000000000023738688,0.230,Active Import Interval (kW),30-09-2024 11:30
10003448599,000000000023738688,0.224,Active Import Interval (kW),30-09-2024 11:00
10003448599,000000000023738688,0.226,Active Import Interval (kW),30-09-2024 10:30
10003448599,000000000023738688,0.472,Active Import Interval (kW),30-09-2024 10:00
10003448599,000000000023738688,0.230,Active Import Interval (kW),30-09-2024 09:30
10003448599,000000000023738688,0.136,Active Import Interval (kW),30-09-2024 09:00
10003448599,000000000023738688,0.096,Active Import Interval (kW),30-09-2024 08:30
10003448599,000000000023738688,1.552,Active Import Interval (kW),30-09-2024 08:00
10003448599,000000000023738688,2.802,Active Import Interval (kW),30-09-2024 07:30
10003448599,000000000023738688,0.154,Active Import Interval (kW),30-09-2024 07:00
10003448599,000000000023738688,0.156,Active Import Interval (kW),30-09-2024 06:30
10003448599,000000000023738688,0.158,Active Import Interval (kW),30-09-2024 06:00
10003448599,000000000023738688,0.174,Active Import Interval (kW),30-09-2024 05:30
10003448599,000000000023738688,0.136,Active Import Interval (kW),30-09-2024 05:00
10003448599,000000000023738688,0.102,Active Import Interval (kW),30-09-2024 04:30
10003448599,000000000023738688,0.102,Active Import Interval (kW),30-09-2024 04:00
10003448599,000000000023738688,0.134,Active Import Interval (kW),30-09-2024 03:30
10003448599,000000000023738688,0.164,Active Import Interval (kW),30-09-2024 03:00
10003448599,000000000023738688,0.164,Active Import Interval (kW),30-09-2024 02:30
10003448599,000000000023738688,0.166,Active Import Interval (kW),30-09-2024 02:00
10003448599,000000000023738688,0.244,Active Import Interval (kW),30-09-2024 01:30
10003448599,000000000023738688,0.206,Active Import Interval (kW),30-09-2024 01:00
10003448599,000000000023738688,0.200,Active Import Interval (kW),30-09-2024 00:30
10003448599,000000000023738688,0.564,Active Import Interval (kW),30-09-2024 00:00
10003448599,000000000023738688,0.272,Active Import Interval (kW),29-09-2024 23:30
10003448599,000000000023738688,0.268,Active Import Interval (kW),29-09-2024 23:00
10003448599,000000000023738688,0.218,Active Import Interval (kW),29-09-2024 22:30
10003448599,000000000023738688,0.208,Active Import Interval (kW),29-09-2024 22:00
10003448599,000000000023738688,0.392,Active Import Interval (kW),29-09-2024 21:30
10003448599,000000000023738688,0.180,Active Import Interval (kW),29-09-2024 21:00
10003448599,000000000023738688,1.248,Active Import Interval (kW),29-09-2024 20:30
10003448599,000000000023738688,2.020,Active Import Interval (kW),29-09-2024 20:00
10003448599,000000000023738688,1.212,Active Import Interval (kW),29-09-2024 19:30
10003448599,000000000023738688,0.294,Active Import Interval (kW),29-09-2024 19:00
10003448599,000000000023738688,0.520,Active Import Interval (kW),29-09-2024 18:30
10003448599,000000000023738688,1.910,Active Import Interval (kW),29-09-2024 18:00
10003448599,000000000023738688,0.890,Active Import Interval (kW),29-09-2024 17:30
10003448599,000000000023738688,0.282,Active Import Interval (kW),29-09-2024 17:00
10003448599,000000000023738688,0.208,Active Import Interval (kW),29-09-2024 16:30
10003448599,000000000023738688,0.218,Active Import Interval (kW),29-09-2024 16:00
10003448599,000000000023738688,0.388,Active Import Interval (kW),29-09-2024 15:30
10003448599,000000000023738688,0.620,Active Import Interval (kW),29-09-2024 15:00
10003448599,000000000023738688,0.466,Active Import Interval (kW),29-09-2024 14:30
10003448599,000000000023738688,0.276,Active Import Interval (kW),29-09-2024 14:00
10003448599,000000000023738688,0.352,Active Import Interval (kW),29-09-2024 13:30
10003448599,000000000023738688,0.214,Active Import Interval (kW),29-09-2024 13:00
10003448599,000000000023738688,0.168,Active Import Interval (kW),29-09-2024 12:30
10003448599,000000000023738688,0.400,Active Import Interval (kW),29-09-2024 12:00
10003448599,000000000023738688,0.126,Active Import Interval (kW),29-09-2024 11:30
10003448599,000000000023738688,0.154,Active Import Interval (kW),29-09-2024 11:00
10003448599,000000000023738688,0.156,Active Import Interval (kW),29-09-2024 10:30
10003448599,000000000023738688,0.156,Active Import Interval (kW),29-09-2024 10:00
10003448599,000000000023738688,0.160,Active Import Interval (kW),29-09-2024 09:30
10003448599,000000000023738688,0.148,Active Import Interval (kW),29-09-2024 09:00
10003448599,000000000023738688,0.100,Active Import Interval (kW),29-09-2024 08:30
10003448599,000000000023738688,1.586,Active Import Interval (kW),29-09-2024 08:00
10003448599,000000000023738688,2.866,Active Import Interval (kW),29-09-2024 07:30
